RELEASE_DATE,TICKER,NAME,ACTUAL_RELEASE,ECO_RELEASE_DT,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_HIGH,BN_SURVEY_LOW,FORECAST_STANDARD_DEVIATION,BN_SURVEY_NUMBER_OBSERVATIONS,RELEVANCE_VALUE,SURPRISES,ZSCORE
2000-03-09 00:00:00,INJCJC Index,US Initial Jobless Claims SA,280,20000309,280,277.8,285,270,4.0,28,97.6378,0,0.0
2000-03-09 00:00:00,MWINCHNG Index,Merchant Wholesalers Inventories Total Monthly % Change,0.7,20000309,0.4,0.4,0.7,0,0.2,12,80.315,0.29999999999999993,1.4999999999999996
2000-03-14 00:00:00,IMP1CHNG Index,US Import Price Index by End Use All MoM NSA,1.9,20000314,0.5,,,,,,76.8504,1.4,
2000-03-15 00:00:00,IP CHNG Index,US Industrial Production MOM SA,0.3,20000315,0.6,0.56,0.8,0.2,0.1,43,90.0,-0.3,-2.9999999999999996
2000-03-15 00:00:00,CPTICHNG Index,US Capacity Utilization % of Total Capacity SA,81.7,20000315,81.8,81.8341,82,81.6,0.1,41,63.7795,-0.09999999999999432,-0.9999999999999432
2000-03-15 00:00:00,MTIBCHNG Index,US Manufacturing & Trade Inventories Total MoM SA,0.5,20000315,0.4,0.4,0.6,0.1,0.1,34,37.7953,0.09999999999999998,0.9999999999999998
2000-03-16 00:00:00,INJCJC Index,US Initial Jobless Claims SA,262,20000316,280,279.1,285,275,3.0,25,97.6378,-18,-6.0
2000-03-16 00:00:00,OUTFGAF Index,Philadelphia Fed Business Outlook Survey Diffusion Index General Conditions,25,20000316,13.25,13.23,15.5,9.2,1.9,24,77.4803,11.75,6.184210526315789
2000-03-17 00:00:00,CPUPXCHG Index,US CPI Urban Consumers Less Food & Energy MoM SA,0.2,20000317,0.2,0.2,0.3,0.1,,42,76.378,0.0,
2000-03-17 00:00:00,CPURNSA Index,US CPI Urban Consumers NSA,169.7,20000317,,,,,,0,36.2205,,
2000-03-17 00:00:00,CPI CHNG Index,US CPI Urban Consumers MoM SA,0.5,20000317,0.4,0.4,0.6,0.2,0.1,42,95.2756,0.09999999999999998,0.9999999999999998
2000-03-20 00:00:00,FDDSSD Index,US Treasury Federal Budget Debt Summary Deficit Or Surplus NSA,-41.7,20000320,-42,-41.773,-30,-45.3,3.5,26,75.5906,0.29999999999999716,0.0857142857142849
2000-03-21 00:00:00,FDTR Index,Federal Funds Target Rate - Upper Bound,6,20000321,6,6,6,6,,22,96.8504,0,
2000-03-21 00:00:00,USTBTOT Index,US Trade Balance of Goods and Services SA,-28.003,20000321,-26.5,-26.467,-24.4,-28.5,0.7,42,83.4646,-1.5030000000000001,-2.1471428571428572
2000-03-23 00:00:00,INJCJC Index,US Initial Jobless Claims SA,266,20000323,270,271.4,280,262,4.0,24,97.6378,-4,-1.0
2000-03-24 00:00:00,DGNOCHNG Index,US Durable Goods New Orders Industries MoM SA,-2.3,20000324,-0.2,-0.2,1.5,-2.5,0.8,40,91.3386,-2.0999999999999996,-2.6249999999999996
2000-03-28 00:00:00,CONCCONF Index,Conference Board Consumer Confidence SA 1985=100,136.7,20000328,140,139.87,143,137,1.4,35,93.7008,-3.3000000000000114,-2.357142857142865
2000-03-29 00:00:00,NHSLTOT Index,US New One Family Houses Sold Annual Total SAAR,919,20000329,875,874.1,902,840,14.0,42,92.3077,44,3.142857142857143
2000-03-30 00:00:00,INJCJC Index,US Initial Jobless Claims SA,266,20000330,270,269.2,280,260,5.0,21,97.6378,-4,-0.8
2000-03-31 00:00:00,CHPMINDX Index,Market News International Chicago Business Barometer SA,57.4,20000331,57,57.1,60,55.2,1.1,24,81.1024,0.3999999999999986,0.3636363636363623
2000-03-31 00:00:00,CONSSENT Index,University of Michigan Consumer Sentiment Index,107.1,20000331,108,108.2,110.5,107,0.9,18,92.9134,-0.9000000000000057,-1.0000000000000062
2000-03-31 00:00:00,TMNOCHNG Index,US Manufacturers New Orders Total MoM SA,-0.8,20000331,-1,-1,-0.2,-2.1,0.4,37,84.252,0.19999999999999996,0.4999999999999999
2000-04-03 00:00:00,NAPMPMI Index,ISM Manufacturing PMI SA,55.8,20000403,57,56.7,58,53,1.0,38,94.4882,-1.2000000000000028,-1.2000000000000028
2000-04-04 00:00:00,LEI CHNG Index,Conference Board US Leading Index MoM,-0.3,20000404,-0.2,-0.1,0.3,-0.4,0.2,33,82.6772,-0.09999999999999998,-0.4999999999999999
2000-04-06 00:00:00,MWINCHNG Index,Merchant Wholesalers Inventories Total Monthly % Change,0.7,20000406,0.6,0.6,1,0.3,0.2,10,80.315,0.09999999999999998,0.4999999999999999
2000-04-06 00:00:00,INJCJC Index,US Initial Jobless Claims SA,260,20000406,270,270.9,286,265,5.0,23,97.6378,-10,-2.0
2000-04-07 00:00:00,CICRTOT Index,Federal Reserve Consumer Credit Total Net Change SA,12,20000407,10.25,11.479,20,6,3.406,28,38.5827,1.75,0.5137991779213154
2000-04-07 00:00:00,USMMMNCH Index,US Employees on Nonfarm Payrolls Manufacturing Industry Monthly Net Change SA,-5,20000407,10,10,25,-5,6.0,6,68.8976,-15,-2.5
2000-04-07 00:00:00,USURTOT Index,U-3 US Unemployment Rate Total in Labor Force Seasonally Adjusted,4.1,20000407,4,4,4.1,3.9,,41,87.4016,0.09999999999999964,
2000-04-07 00:00:00,NFP TCH Index,US Employees on Nonfarm Payrolls Total MoM Net Change SA,416,20000407,380,387,625,185,81.0,41,98.4252,36,0.4444444444444444
2000-04-12 00:00:00,IMP1CHNG Index,US Import Price Index by End Use All MoM NSA,0.3,20000412,0.8,0.8,1.5,0.2,0.3,16,76.8504,-0.5,-1.6666666666666667
2000-04-13 00:00:00,INJCJC Index,US Initial Jobless Claims SA,264,20000413,265,265.9,280,250,6.0,20,97.6378,-1,-0.16666666666666666
2000-04-14 00:00:00,CPTICHNG Index,US Capacity Utilization % of Total Capacity SA,81.4,20000414,81.7,81.6658,82,81.4,0.1,38,63.7795,-0.29999999999999716,-2.9999999999999716
2000-04-14 00:00:00,CPI CHNG Index,US CPI Urban Consumers MoM SA,0.7,20000414,0.5,0.5,0.6,0.3,0.1,42,95.2756,0.19999999999999996,1.9999999999999996
2000-04-14 00:00:00,CPURNSA Index,US CPI Urban Consumers NSA,171.1,20000414,,,,,,0,36.2205,,
2000-04-14 00:00:00,IP CHNG Index,US Industrial Production MOM SA,0.3,20000414,0.25,0.25,0.7,0,0.1,40,90.0,0.04999999999999999,0.4999999999999999
2000-04-14 00:00:00,MTIBCHNG Index,US Manufacturing & Trade Inventories Total MoM SA,0.5,20000414,0.5,0.5,0.7,0.2,0.1,33,37.7953,0.0,0.0
2000-04-14 00:00:00,CPUPXCHG Index,US CPI Urban Consumers Less Food & Energy MoM SA,0.4,20000414,0.2,0.2,0.3,0.1,,42,76.378,0.2,
2000-04-19 00:00:00,USTBTOT Index,US Trade Balance of Goods and Services SA,-29.241,20000419,-28.5,-28.592,-27,-30.5,0.7,39,83.4646,-0.7409999999999997,-1.058571428571428
2000-04-20 00:00:00,OUTFGAF Index,Philadelphia Fed Business Outlook Survey Diffusion Index General Conditions,12.8,20000420,20,19.17,27.5,13.1,3.1,24,77.4803,-7.199999999999999,-2.32258064516129
2000-04-20 00:00:00,INJCJC Index,US Initial Jobless Claims SA,257,20000420,265,264.8,270,260,3.0,19,97.6378,-8,-2.6666666666666665
2000-04-20 00:00:00,FDDSSD Index,US Treasury Federal Budget Debt Summary Deficit Or Surplus NSA,-35.4,20000420,-28.2,-26.836,-15,-33,4.8,28,75.5906,-7.199999999999999,-1.5
2000-04-25 00:00:00,CONCCONF Index,Conference Board Consumer Confidence SA 1985=100,136.9,20000425,135,135.28,142,130,2.6,35,93.7008,1.9000000000000057,0.730769230769233
2000-04-26 00:00:00,DGNOCHNG Index,US Durable Goods New Orders Industries MoM SA,2.6,20000426,2,1.9,3.5,0.5,0.7,43,91.3386,0.6000000000000001,0.8571428571428573
2000-04-27 00:00:00,INJCJC Index,US Initial Jobless Claims SA,283,20000427,260,260.9,270,250,4.0,21,97.6378,23,5.75
2000-04-28 00:00:00,CHPMINDX Index,Market News International Chicago Business Barometer SA,56.5,20000428,57,56.8,58,56,0.6,28,81.1024,-0.5,-0.8333333333333334
2000-04-28 00:00:00,CONSSENT Index,University of Michigan Consumer Sentiment Index,109.2,20000428,110,109.1,110,104,,2,92.9134,-0.7999999999999972,
2000-05-01 00:00:00,NAPMPMI Index,ISM Manufacturing PMI SA,54.9,20000501,55.6,55.6,57,53,0.8,40,94.4882,-0.7000000000000028,-0.8750000000000036
2000-05-02 00:00:00,NHSLTOT Index,US New One Family Houses Sold Annual Total SAAR,966,20000502,900,904.95,930,850,16.0,43,92.3077,66,4.125
2000-05-02 00:00:00,LEI CHNG Index,Conference Board US Leading Index MoM,0.1,20000502,0.1,0.1,0.3,-0.2,0.1,36,82.6772,0.0,0.0
2000-05-03 00:00:00,TMNOCHNG Index,US Manufacturers New Orders Total MoM SA,2.2,20000503,1.7,1.6,2.2,0.5,0.4,42,84.252,0.5000000000000002,1.2500000000000004
2000-05-04 00:00:00,INJCJC Index,US Initial Jobless Claims SA,303,20000504,273,271.6,290,255,8.0,27,97.6378,30,3.75
2000-05-05 00:00:00,USURTOT Index,U-3 US Unemployment Rate Total in Labor Force Seasonally Adjusted,3.9,20000505,4,4,4.1,3.9,0.1,45,87.4016,-0.10000000000000009,-1.0000000000000009
2000-05-05 00:00:00,CICRTOT Index,Federal Reserve Consumer Credit Total Net Change SA,9.1,20000505,10,9.573,14,7.5,1.268,33,38.5827,-0.9000000000000004,-0.7097791798107258
2000-05-05 00:00:00,NFP TCH Index,US Employees on Nonfarm Payrolls Total MoM Net Change SA,340,20000505,340,342,525,200,69.0,45,98.4252,0,0.0
2000-05-05 00:00:00,USMMMNCH Index,US Employees on Nonfarm Payrolls Manufacturing Industry Monthly Net Change SA,11,20000505,0,0,6,-10,6.0,5,68.8976,11,1.8333333333333333
2000-05-09 00:00:00,MWINCHNG Index,Merchant Wholesalers Inventories Total Monthly % Change,0.7,20000509,0.6,0.6,0.7,0.4,0.1,12,80.315,0.09999999999999998,0.9999999999999998
2000-05-11 00:00:00,INJCJC Index,US Initial Jobless Claims SA,297,20000511,287,288.1,310,275,9.0,23,97.6378,10,1.1111111111111112
2000-05-11 00:00:00,IMP1CHNG Index,US Import Price Index by End Use All MoM NSA,-1.6,20000511,-0.2,-0.3,0.1,-1.2,0.3,19,76.8504,-1.4000000000000001,-4.666666666666667
2000-05-12 00:00:00,MTIBCHNG Index,US Manufacturing & Trade Inventories Total MoM SA,0.3,20000512,0.4,0.4,0.7,0,0.1,34,37.7953,-0.10000000000000003,-1.0000000000000002
2000-05-15 00:00:00,CPTICHNG Index,US Capacity Utilization % of Total Capacity SA,82.1,20000515,81.8,81.7861,82.2,81.4,0.2,36,63.7795,0.29999999999999716,1.4999999999999858
2000-05-15 00:00:00,IP CHNG Index,US Industrial Production MOM SA,0.9,20000515,0.8,0.72,1,0.2,0.2,37,90.0,0.09999999999999998,0.4999999999999999
2000-05-16 00:00:00,CPI CHNG Index,US CPI Urban Consumers MoM SA,0,20000516,0.1,0.1,0.3,-0.2,0.1,41,95.2756,-0.1,-1.0
2000-05-16 00:00:00,FDTR Index,Federal Funds Target Rate - Upper Bound,6.5,20000516,6.5,6.47,6.5,6.25,0.08,61,96.8504,0.0,0.0
2000-05-16 00:00:00,CPURNSA Index,US CPI Urban Consumers NSA,171.2,20000516,,,,,,0,36.2205,,
2000-05-16 00:00:00,CPUPXCHG Index,US CPI Urban Consumers Less Food & Energy MoM SA,0.2,20000516,0.2,0.2,0.3,0.1,0.1,32,76.378,0.0,0.0
2000-05-18 00:00:00,INJCJC Index,US Initial Jobless Claims SA,276,20000518,290,290,300,280,6.0,22,97.6378,-14,-2.3333333333333335
2000-05-18 00:00:00,OUTFGAF Index,Philadelphia Fed Business Outlook Survey Diffusion Index General Conditions,20.2,20000518,14.5,14.2,20,10,2.5,27,77.4803,5.699999999999999,2.28
2000-05-18 00:00:00,FDDSSD Index,US Treasury Federal Budget Debt Summary Deficit Or Surplus NSA,159.5,20000518,155,154.3,165,135,7.0,31,75.5906,4.5,0.6428571428571429
2000-05-19 00:00:00,USTBTOT Index,US Trade Balance of Goods and Services SA,-30.2,20000519,-29.5,-29.474,-28.3,-30.5,0.6,44,83.4646,-0.6999999999999993,-1.1666666666666656
2000-05-25 00:00:00,INJCJC Index,US Initial Jobless Claims SA,284,20000525,275.5,276.7,290,270,6.0,22,97.6378,8.5,1.4166666666666667
2000-05-26 00:00:00,DGNOCHNG Index,US Durable Goods New Orders Industries MoM SA,-6.4,20000526,-0.5,-0.2,4,-3,1.2,46,91.3386,-5.9,-4.916666666666667
2000-05-26 00:00:00,CONSSENT Index,University of Michigan Consumer Sentiment Index,110.7,20000526,110.5,110.1,111.5,107.5,0.9,23,92.9134,0.20000000000000284,0.22222222222222537
2000-05-30 00:00:00,CONCCONF Index,Conference Board Consumer Confidence SA 1985=100,144.4,20000530,136.05,136.2,140,130,1.5,37,93.7008,8.349999999999994,5.566666666666663
2000-05-31 00:00:00,CHPMINDX Index,Market News International Chicago Business Barometer SA,53.9,20000531,56.6,56.6,58,55,0.8,30,81.1024,-2.700000000000003,-3.3750000000000036
2000-05-31 00:00:00,LEI CHNG Index,Conference Board US Leading Index MoM,-0.1,20000531,0.1,0.1,0.5,-0.1,0.1,39,82.6772,-0.2,-2.0
2000-05-31 00:00:00,NHSLTOT Index,US New One Family Houses Sold Annual Total SAAR,909,20000531,940,939,985,900,20.0,45,92.3077,-31,-1.55
2000-06-01 00:00:00,INJCJC Index,US Initial Jobless Claims SA,286,20000601,280,281,295,275,3.0,24,97.6378,6,2.0
2000-06-01 00:00:00,NAPMPMI Index,ISM Manufacturing PMI SA,53.2,20000601,55.3,55.1,56,53.5,0.5,45,94.4882,-2.0999999999999943,-4.199999999999989
2000-06-02 00:00:00,USURTOT Index,U-3 US Unemployment Rate Total in Labor Force Seasonally Adjusted,4.1,20000602,3.9,3.9,4,3.7,0.1,48,87.4016,0.19999999999999973,1.9999999999999973
2000-06-02 00:00:00,NFP TCH Index,US Employees on Nonfarm Payrolls Total MoM Net Change SA,231,20000602,380,388,500,300,52.0,47,98.4252,-149,-2.8653846153846154
2000-06-02 00:00:00,USMMMNCH Index,US Employees on Nonfarm Payrolls Manufacturing Industry Monthly Net Change SA,-17,20000602,5,4,15,-5,6.0,10,68.8976,-22,-3.6666666666666665
2000-06-02 00:00:00,TMNOCHNG Index,US Manufacturers New Orders Total MoM SA,-4.3,20000602,-3.1,-2.7,1.5,-4,1.5,36,84.252,-1.1999999999999997,-0.7999999999999998
2000-06-06 00:00:00,MWINCHNG Index,Merchant Wholesalers Inventories Total Monthly % Change,0.8,20000606,0.5,0.5,0.8,0.3,0.1,12,80.315,0.30000000000000004,3.0000000000000004
2000-06-07 00:00:00,CICRTOT Index,Federal Reserve Consumer Credit Total Net Change SA,9.3,20000607,7.5,7.8,12.3,2,2.161,36,38.5827,1.8000000000000007,0.8329477093937995
2000-06-08 00:00:00,IMP1CHNG Index,US Import Price Index by End Use All MoM NSA,0.6,20000608,0.5,0.6,2,-0.2,0.4,17,76.8504,0.09999999999999998,0.24999999999999994
2000-06-08 00:00:00,INJCJC Index,US Initial Jobless Claims SA,309,20000608,285,286,300,275,6.0,26,97.6378,24,4.0
2000-06-14 00:00:00,CPUPXCHG Index,US CPI Urban Consumers Less Food & Energy MoM SA,0.2,20000614,0.2,0.2,0.3,0.1,,41,76.378,0.0,
2000-06-14 00:00:00,CPI CHNG Index,US CPI Urban Consumers MoM SA,0.1,20000614,0.2,0.2,0.4,0.1,0.1,49,95.2756,-0.1,-1.0
2000-06-14 00:00:00,CPURNSA Index,US CPI Urban Consumers NSA,171.3,20000614,,,,,,1,36.2205,,
2000-06-14 00:00:00,MTIBCHNG Index,US Manufacturing & Trade Inventories Total MoM SA,0.4,20000614,0.5,0.5,0.6,0.2,0.1,39,37.7953,-0.09999999999999998,-0.9999999999999998
2000-06-15 00:00:00,CPTICHNG Index,US Capacity Utilization % of Total Capacity SA,82.1,20000615,81.6,81.5826,82.2,81,0.2,47,63.7795,0.5,2.5
2000-06-15 00:00:00,IP CHNG Index,US Industrial Production MOM SA,0.4,20000615,-0.3,-0.31,0.4,-1.2,0.3,49,90.0,0.7,2.3333333333333335
2000-06-15 00:00:00,INJCJC Index,US Initial Jobless Claims SA,296,20000615,290,292,310,280,8.0,28,97.6378,6,0.75
2000-06-15 00:00:00,OUTFGAF Index,Philadelphia Fed Business Outlook Survey Diffusion Index General Conditions,1.7,20000615,14,14.1,24,4,3.9,28,77.4803,-12.3,-3.153846153846154
2000-06-20 00:00:00,USTBTOT Index,US Trade Balance of Goods and Services SA,-30.4,20000620,-29.1,-29.375,-28,-31.2,0.7,47,83.4646,-1.2999999999999972,-1.8571428571428532
2000-06-20 00:00:00,FDDSSD Index,US Treasury Federal Budget Debt Summary Deficit Or Surplus NSA,-3.6,20000620,-3,-4.241,5,-30,7.3,34,75.5906,-0.6000000000000001,-0.08219178082191782
2000-06-22 00:00:00,INJCJC Index,US Initial Jobless Claims SA,302,20000622,295,294.8,310,280,6.0,28,97.6378,7,1.1666666666666667
2000-06-27 00:00:00,CONCCONF Index,Conference Board Consumer Confidence SA 1985=100,138.8,20000627,140,139.8,143,135,1.6,44,93.7008,-1.1999999999999886,-0.7499999999999929
2000-06-28 00:00:00,DGNOCHNG Index,US Durable Goods New Orders Industries MoM SA,6,20000628,2.9,2.9,8.5,0.3,1.2,47,91.3386,3.1,2.5833333333333335
2000-06-28 00:00:00,FDTR Index,Federal Funds Target Rate - Upper Bound,6.5,20000628,6.5,6.53,6.75,6.5,0.09,67,96.8504,0.0,0.0
2000-06-29 00:00:00,NHSLTOT Index,US New One Family Houses Sold Annual Total SAAR,875,20000629,898,898,945,850,19.0,48,92.3077,-23,-1.2105263157894737
2000-06-29 00:00:00,INJCJC Index,US Initial Jobless Claims SA,306,20000629,300,300,308,290,4.0,25,97.6378,6,1.5
2000-06-29 00:00:00,GDP CQOQ Index,GDP US Chained 2012 Dollars QoQ SAAR,5.5,20000629,5.4,6,5.6,5.2,0.1,47,96.063,0.09999999999999964,0.9999999999999964
2000-06-30 00:00:00,CONSSENT Index,University of Michigan Consumer Sentiment Index,106.4,20000630,106.8,109.1,112,104,1.3,22,92.9134,-0.3999999999999915,-0.3076923076923011
2000-06-30 00:00:00,CHPMINDX Index,Market News International Chicago Business Barometer SA,56.8,20000630,53.5,53.6,56,51.9,1.3,29,81.1024,3.299999999999997,2.538461538461536
2000-07-03 00:00:00,NAPMPRIC Index,ISM Manufacturing Report on Business Prices Index NSA,47,20000703,67.5,67.6,70,65,1.7,12,71.6535,-20.5,-12.058823529411764
2000-07-03 00:00:00,NAPMPMI Index,ISM Manufacturing PMI SA,51.8,20000703,52.8,52.9,54.5,51.7,0.7,27,94.4882,-1.0,-1.4285714285714286
2000-07-05 00:00:00,LEI CHNG Index,Conference Board US Leading Index MoM,-0.1,20000705,-0.2,-0.2,0.1,-0.5,0.1,36,82.6772,0.1,1.0
2000-07-06 00:00:00,TMNOCHNG Index,US Manufacturers New Orders Total MoM SA,4.1,20000706,3.5,3.3,4.4,0.8,0.9,37,84.252,0.5999999999999996,0.6666666666666663
2000-07-06 00:00:00,INJCJC Index,US Initial Jobless Claims SA,296,20000706,302.5,304,315,290,6.0,18,97.6378,-6.5,-1.0833333333333333
2000-07-07 00:00:00,USURTOT Index,U-3 US Unemployment Rate Total in Labor Force Seasonally Adjusted,4,20000707,4,4,4.2,3.9,0.1,46,87.4016,0,0.0
2000-07-07 00:00:00,NFP TCH Index,US Employees on Nonfarm Payrolls Total MoM Net Change SA,11,20000707,250,260,495,100,81.0,46,98.4252,-239,-2.950617283950617
2000-07-07 00:00:00,USMMMNCH Index,US Employees on Nonfarm Payrolls Manufacturing Industry Monthly Net Change SA,8,20000707,-1,0,10,-10,5.0,8,68.8976,9,1.8
2000-07-10 00:00:00,CICRTOT Index,Federal Reserve Consumer Credit Total Net Change SA,11.8,20000710,7.5,7.3,10.4,2,1.563,35,38.5827,4.300000000000001,2.7511196417146517
2000-07-11 00:00:00,MWINCHNG Index,Merchant Wholesalers Inventories Total Monthly % Change,0.8,20000711,0.6,0.5,0.8,0.2,0.2,10,80.315,0.20000000000000007,1.0000000000000002
2000-07-13 00:00:00,IMP1CHNG Index,US Import Price Index by End Use All MoM NSA,0.8,20000713,0.7,0.8,1.5,0.1,0.4,16,76.8504,0.10000000000000009,0.2500000000000002
2000-07-13 00:00:00,INJCJC Index,US Initial Jobless Claims SA,319,20000713,305,303.9,315,299,4.0,17,97.6378,14,3.5
2000-07-14 00:00:00,CPTICHNG Index,US Capacity Utilization % of Total Capacity SA,82.1,20000714,82.1,82.1,82.4,81.9,0.1,41,63.7795,0.0,0.0
2000-07-14 00:00:00,IP CHNG Index,US Industrial Production MOM SA,0.2,20000714,0.3,0.31,0.7,0.1,0.1,43,90.0,-0.09999999999999998,-0.9999999999999998
